respondent_id,database_used,context
1,PostgreSQL,Web App
2,MySQL,Analytics
3,SQLite,Analytics
4,MySQL,Analytics
5,SQLite,Web App
6,Microsoft SQL Server,Web App
7,MySQL,Web App
8,MySQL,Analytics
9,PostgreSQL,Mobile App
10,Oracle,ETL Job
11,MySQL,Analytics
12,Microsoft SQL Server,Mobile App
13,MySQL,Enterprise App
14,MySQL,Dashboard
15,PostgreSQL,Web App
16,MySQL,Analytics
17,PostgreSQL,ETL Job
18,MariaDB,Analytics
19,Oracle,Web App
20,MySQL,Dashboard
21,SQLite,Mobile App
22,Oracle,Enterprise App
23,MariaDB,Dashboard
24,MySQL,Mobile App
25,PostgreSQL,ETL Job
26,MySQL,Mobile App
27,Microsoft SQL Server,Dashboard
28,Oracle,Mobile App
29,MySQL,Dashboard
30,MySQL,Mobile App
31,MySQL,Web App
32,IBM DB2,ETL Job
33,PostgreSQL,Mobile App
34,Microsoft SQL Server,Web App
35,MariaDB,Web App
36,Microsoft SQL Server,Web App
37,Oracle,ETL Job
38,Microsoft SQL Server,ETL Job
39,Microsoft SQL Server,Dashboard
40,MariaDB,Analytics
41,Oracle,Web App
42,SQLite,Enterprise App
43,MySQL,Enterprise App
44,SQLite,Dashboard
45,PostgreSQL,ETL Job
46,Microsoft SQL Server,Enterprise App
47,MySQL,Dashboard
48,MySQL,Dashboard
49,SQLite,ETL Job
50,MySQL,Web App
51,MariaDB,Dashboard
52,MariaDB,ETL Job
53,SQLite,Analytics
54,PostgreSQL,Web App
55,MariaDB,Web App
56,MySQL,Analytics
57,MariaDB,ETL Job
58,Microsoft SQL Server,Enterprise App
59,MariaDB,ETL Job
60,SQLite,ETL Job
61,PostgreSQL,Enterprise App
62,PostgreSQL,Analytics
63,Microsoft SQL Server,Dashboard
64,Microsoft SQL Server,Enterprise App
65,MariaDB,Enterprise App
66,PostgreSQL,ETL Job
67,SQLite,ETL Job
68,PostgreSQL,Enterprise App
69,MariaDB,Analytics
70,PostgreSQL,Analytics
71,MySQL,Mobile App
72,PostgreSQL,ETL Job
73,Microsoft SQL Server,Analytics
74,MySQL,Analytics
75,MySQL,ETL Job
76,MySQL,Mobile App
77,MariaDB,ETL Job
78,PostgreSQL,ETL Job
79,PostgreSQL,Enterprise App
80,SQLite,Dashboard
81,PostgreSQL,Web App
82,MySQL,Mobile App
83,IBM DB2,Analytics
84,MySQL,Mobile App
85,Microsoft SQL Server,Mobile App
86,IBM DB2,Dashboard
87,MySQL,ETL Job
88,Microsoft SQL Server,Analytics
89,MariaDB,Dashboard
90,PostgreSQL,Mobile App
91,MySQL,Dashboard
92,Oracle,Analytics
93,MySQL,Enterprise App
94,MySQL,Dashboard
95,PostgreSQL,Web App
96,PostgreSQL,Web App
97,PostgreSQL,Mobile App
98,Microsoft SQL Server,Dashboard
99,SQLite,Web App
100,Oracle,Mobile App
101,Microsoft SQL Server,Analytics
102,Oracle,Analytics
103,IBM DB2,Enterprise App
104,Microsoft SQL Server,Analytics
105,Oracle,Enterprise App
106,SQLite,ETL Job
107,IBM DB2,Dashboard
108,MySQL,ETL Job
109,PostgreSQL,Dashboard
110,MySQL,Enterprise App
111,Microsoft SQL Server,Web App
112,MySQL,Dashboard
113,Microsoft SQL Server,Enterprise App
114,PostgreSQL,Analytics
115,PostgreSQL,Web App
116,SQLite,Dashboard
117,SQLite,Dashboard
118,MySQL,Analytics
119,SQLite,ETL Job
120,Oracle,Mobile App
121,SQLite,Dashboard
122,PostgreSQL,Analytics
123,PostgreSQL,Mobile App
124,Microsoft SQL Server,Mobile App
125,PostgreSQL,Analytics
126,MariaDB,Web App
127,MariaDB,Web App
128,SQLite,Dashboard
129,SQLite,Mobile App
130,PostgreSQL,Dashboard
131,MySQL,ETL Job
132,MySQL,Web App
133,Microsoft SQL Server,Mobile App
134,SQLite,ETL Job
135,Microsoft SQL Server,Web App
136,PostgreSQL,Web App
137,PostgreSQL,Analytics
138,MariaDB,Analytics
139,SQLite,ETL Job
140,PostgreSQL,Web App
141,MariaDB,Analytics
142,MariaDB,ETL Job
143,SQLite,Web App
144,Microsoft SQL Server,Dashboard
145,MySQL,Enterprise App
146,Microsoft SQL Server,Analytics
147,Microsoft SQL Server,Web App
148,MySQL,Dashboard
149,Microsoft SQL Server,Analytics
150,PostgreSQL,ETL Job
151,MySQL,Analytics
152,PostgreSQL,Enterprise App
153,PostgreSQL,Enterprise App
154,SQLite,Dashboard
155,MySQL,Mobile App
156,SQLite,Web App
157,Microsoft SQL Server,Enterprise App
158,PostgreSQL,Dashboard
159,Microsoft SQL Server,Analytics
160,SQLite,Analytics
161,MariaDB,Dashboard
162,Microsoft SQL Server,Mobile App
163,MySQL,Analytics
164,MySQL,Analytics
165,SQLite,Enterprise App
166,Microsoft SQL Server,Enterprise App
167,Oracle,Mobile App
168,MySQL,Dashboard
169,Microsoft SQL Server,ETL Job
170,MariaDB,Web App
171,MariaDB,Analytics
172,MySQL,Mobile App
173,SQLite,ETL Job
174,MariaDB,Analytics
175,MySQL,Enterprise App
176,Microsoft SQL Server,ETL Job
177,MySQL,ETL Job
178,MySQL,Dashboard
179,MySQL,Analytics
180,Microsoft SQL Server,ETL Job
181,PostgreSQL,Enterprise App
182,MySQL,Web App
183,Microsoft SQL Server,Dashboard
184,PostgreSQL,Web App
185,Oracle,Analytics
186,MySQL,Mobile App
187,SQLite,Mobile App
188,Oracle,Analytics
189,MySQL,Analytics
190,PostgreSQL,Analytics
191,SQLite,Web App
192,SQLite,Mobile App
193,PostgreSQL,ETL Job
194,PostgreSQL,ETL Job
195,PostgreSQL,Dashboard
196,PostgreSQL,Web App
197,SQLite,ETL Job
198,MySQL,Enterprise App
199,SQLite,Mobile App
200,MySQL,Enterprise App
201,SQLite,Dashboard
202,MySQL,Analytics
203,Microsoft SQL Server,Web App
204,MariaDB,Dashboard
205,SQLite,Analytics
206,MySQL,Mobile App
207,MySQL,Web App
208,MySQL,Dashboard
209,IBM DB2,Web App
210,Microsoft SQL Server,Mobile App
211,MySQL,Web App
212,SQLite,ETL Job
213,MySQL,Web App
214,PostgreSQL,Enterprise App
215,PostgreSQL,Mobile App
216,MySQL,Dashboard
217,PostgreSQL,ETL Job
218,Microsoft SQL Server,Analytics
219,MySQL,Dashboard
220,SQLite,Mobile App
221,SQLite,Enterprise App
222,PostgreSQL,Mobile App
223,MySQL,ETL Job
224,MySQL,ETL Job
225,MariaDB,Enterprise App
226,SQLite,Web App
227,Microsoft SQL Server,Dashboard
228,MySQL,Dashboard
229,MySQL,ETL Job
230,PostgreSQL,Dashboard
231,PostgreSQL,Enterprise App
232,Oracle,Web App
233,SQLite,Web App
234,Microsoft SQL Server,Analytics
235,MariaDB,Dashboard
236,MySQL,Enterprise App
237,Microsoft SQL Server,Mobile App
238,PostgreSQL,Mobile App
239,PostgreSQL,Dashboard
240,Microsoft SQL Server,Enterprise App
241,Microsoft SQL Server,Web App
242,MySQL,Dashboard
243,MySQL,Web App
244,SQLite,Web App
245,Microsoft SQL Server,Analytics
246,MySQL,Mobile App
247,Microsoft SQL Server,Mobile App
248,SQLite,Analytics
249,SQLite,Analytics
250,SQLite,Dashboard
251,Microsoft SQL Server,Dashboard
252,MySQL,Web App
253,MySQL,Enterprise App
254,Oracle,Dashboard
255,SQLite,Enterprise App
256,MariaDB,Dashboard
257,MySQL,Dashboard
258,PostgreSQL,Mobile App
259,PostgreSQL,Dashboard
260,SQLite,Web App
261,MySQL,Enterprise App
262,PostgreSQL,Web App
263,MySQL,Analytics
264,MySQL,Web App
265,MariaDB,Web App
266,MySQL,Analytics
267,MySQL,Web App
268,MySQL,Mobile App
269,SQLite,ETL Job
270,SQLite,Web App
271,PostgreSQL,Dashboard
272,MariaDB,Enterprise App
273,MySQL,Dashboard
274,MySQL,Dashboard
275,Microsoft SQL Server,Web App
276,PostgreSQL,Dashboard
277,MySQL,ETL Job
278,Microsoft SQL Server,Mobile App
279,MySQL,Web App
280,MySQL,Mobile App
281,MySQL,Web App
282,Microsoft SQL Server,ETL Job
283,SQLite,Mobile App
284,SQLite,Dashboard
285,MySQL,Analytics
286,MySQL,Mobile App
287,MySQL,Mobile App
288,MariaDB,Mobile App
289,MySQL,ETL Job
290,MySQL,Enterprise App
291,MySQL,Web App
292,MySQL,Web App
293,SQLite,ETL Job
294,PostgreSQL,Analytics
295,MySQL,Web App
296,MySQL,Enterprise App
297,Microsoft SQL Server,Enterprise App
298,PostgreSQL,Enterprise App
299,MySQL,Analytics
300,PostgreSQL,Dashboard
301,PostgreSQL,Enterprise App
302,PostgreSQL,Enterprise App
303,MySQL,Analytics
304,PostgreSQL,ETL Job
305,MySQL,ETL Job
306,PostgreSQL,Web App
307,MySQL,ETL Job
308,PostgreSQL,Enterprise App
309,Microsoft SQL Server,ETL Job
310,Oracle,ETL Job
311,SQLite,Mobile App
312,MySQL,Analytics
313,PostgreSQL,Mobile App
314,PostgreSQL,Mobile App
315,MySQL,Mobile App
316,SQLite,Web App
317,SQLite,Mobile App
318,MySQL,Web App
319,MySQL,Web App
320,PostgreSQL,Analytics
321,MySQL,ETL Job
322,MySQL,Dashboard
323,SQLite,Dashboard
324,MySQL,Analytics
325,PostgreSQL,ETL Job
326,Oracle,Enterprise App
327,MariaDB,Dashboard
328,Oracle,Web App
329,MySQL,Enterprise App
330,MySQL,Mobile App
331,PostgreSQL,ETL Job
332,MariaDB,Analytics
333,PostgreSQL,Dashboard
334,Oracle,Analytics
335,MySQL,Dashboard
336,SQLite,Web App
337,PostgreSQL,Enterprise App
338,SQLite,Mobile App
339,PostgreSQL,Mobile App
340,PostgreSQL,Enterprise App
341,MariaDB,Dashboard
342,Microsoft SQL Server,Mobile App
343,PostgreSQL,Web App
344,MySQL,Dashboard
345,MySQL,ETL Job
346,SQLite,Web App
347,MariaDB,Dashboard
348,Microsoft SQL Server,Analytics
349,Microsoft SQL Server,Mobile App
350,SQLite,Dashboard
351,PostgreSQL,Dashboard
352,PostgreSQL,Analytics
353,PostgreSQL,ETL Job
354,SQLite,Mobile App
355,MySQL,Enterprise App
356,SQLite,Web App
357,MySQL,Mobile App
358,Microsoft SQL Server,Web App
359,PostgreSQL,Analytics
360,MySQL,ETL Job
361,Microsoft SQL Server,Web App
362,MySQL,Web App
363,MySQL,Mobile App
364,PostgreSQL,Web App
365,MySQL,Dashboard
366,PostgreSQL,Dashboard
367,MySQL,Dashboard
368,PostgreSQL,ETL Job
369,SQLite,Analytics
370,MySQL,Web App
371,Microsoft SQL Server,Dashboard
372,PostgreSQL,Analytics
373,PostgreSQL,Enterprise App
374,PostgreSQL,ETL Job
375,PostgreSQL,Mobile App
376,MySQL,Enterprise App
377,PostgreSQL,Enterprise App
378,PostgreSQL,Mobile App
379,PostgreSQL,Mobile App
380,Microsoft SQL Server,Mobile App
381,MySQL,Web App
382,MySQL,ETL Job
383,SQLite,Analytics
384,Microsoft SQL Server,Mobile App
385,SQLite,Enterprise App
386,Microsoft SQL Server,Mobile App
387,PostgreSQL,Analytics
388,MariaDB,Web App
389,Oracle,Dashboard
390,MySQL,Analytics
391,PostgreSQL,Mobile App
392,MySQL,Web App
393,SQLite,Web App
394,PostgreSQL,Analytics
395,MariaDB,Enterprise App
396,MySQL,Mobile App
397,PostgreSQL,Enterprise App
398,MySQL,Analytics
399,SQLite,Analytics
400,SQLite,Web App
401,MySQL,Analytics
402,MariaDB,Web App
403,MySQL,Dashboard
404,Microsoft SQL Server,Web App
405,Microsoft SQL Server,ETL Job
406,Microsoft SQL Server,Enterprise App
407,MySQL,ETL Job
408,SQLite,Analytics
409,MySQL,Mobile App
410,PostgreSQL,ETL Job
411,PostgreSQL,Enterprise App
412,PostgreSQL,Analytics
413,MySQL,Dashboard
414,PostgreSQL,Enterprise App
415,PostgreSQL,Enterprise App
416,MariaDB,ETL Job
417,MySQL,Analytics
418,MySQL,Mobile App
419,SQLite,Web App
420,Microsoft SQL Server,ETL Job
421,IBM DB2,Analytics
422,MariaDB,Mobile App
423,MariaDB,ETL Job
424,SQLite,Web App
425,Microsoft SQL Server,Enterprise App
426,PostgreSQL,Dashboard
427,MySQL,ETL Job
428,SQLite,Web App
429,PostgreSQL,ETL Job
430,Oracle,Mobile App
431,MySQL,Enterprise App
432,PostgreSQL,Dashboard
433,SQLite,Dashboard
434,Microsoft SQL Server,Mobile App
435,MySQL,Mobile App
436,Microsoft SQL Server,Dashboard
437,SQLite,Analytics
438,PostgreSQL,Analytics
439,Oracle,Analytics
440,PostgreSQL,Mobile App
441,SQLite,Analytics
442,SQLite,Enterprise App
443,Microsoft SQL Server,ETL Job
444,PostgreSQL,Dashboard
445,MySQL,Enterprise App
446,SQLite,ETL Job
447,MariaDB,Analytics
448,Microsoft SQL Server,Web App
449,MySQL,Analytics
450,SQLite,Web App
451,PostgreSQL,Analytics
452,Microsoft SQL Server,Mobile App
453,Oracle,ETL Job
454,IBM DB2,Dashboard
455,MySQL,Mobile App
456,MySQL,ETL Job
457,MySQL,Dashboard
458,MySQL,ETL Job
459,MySQL,Enterprise App
460,MariaDB,Dashboard
461,MySQL,ETL Job
462,Oracle,Mobile App
463,PostgreSQL,Enterprise App
464,MySQL,Mobile App
465,MySQL,Enterprise App
466,Oracle,ETL Job
467,Oracle,Dashboard
468,MySQL,Mobile App
469,PostgreSQL,Dashboard
470,MySQL,Enterprise App
471,Microsoft SQL Server,Web App
472,MySQL,Web App
473,PostgreSQL,Mobile App
474,MariaDB,ETL Job
475,Microsoft SQL Server,Web App
476,MySQL,ETL Job
477,MySQL,ETL Job
478,PostgreSQL,Web App
479,MySQL,Dashboard
480,MySQL,Enterprise App
481,MySQL,Analytics
482,MariaDB,Mobile App
483,Microsoft SQL Server,Analytics
484,Microsoft SQL Server,Dashboard
485,Oracle,Dashboard
486,MySQL,Dashboard
487,PostgreSQL,Mobile App
488,PostgreSQL,Mobile App
489,MariaDB,Web App
490,PostgreSQL,Dashboard
491,MySQL,Dashboard
492,MySQL,ETL Job
493,PostgreSQL,Mobile App
494,MySQL,Analytics
495,MySQL,Web App
496,MySQL,Dashboard
497,Microsoft SQL Server,Dashboard
498,PostgreSQL,Enterprise App
499,PostgreSQL,Analytics
500,PostgreSQL,Mobile App
501,MySQL,ETL Job
502,PostgreSQL,Dashboard
503,Microsoft SQL Server,Enterprise App
504,SQLite,Web App
505,Microsoft SQL Server,Mobile App
506,Microsoft SQL Server,Dashboard
507,SQLite,Enterprise App
508,PostgreSQL,Enterprise App
509,SQLite,Web App
510,SQLite,Mobile App
511,MySQL,Web App
512,MariaDB,Dashboard
513,SQLite,Web App
